activity_id,name,category,subcategory,city,state,lat,lon,indoor_outdoor,estimated_cost_usd_min,estimated_cost_usd_max,is_estimated,typical_duration_min,group_suitability,family_kids_suitable,wheelchair,website,phone,opening_hours,source,source_id,source_url,data_quality_score
osm_way_1112835156,Adventure Play Slope,amusement,playground,Boston,MA,42.361106,-71.058241,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/1112835156,https://www.openstreetmap.org/way/1112835156,0.57
osm_way_54676695,Alexander W. Kemp Playground,amusement,playground,Boston,MA,42.377456,-71.121329,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/54676695,https://www.openstreetmap.org/way/54676695,0.61
osm_way_707977520,Anthony Paolillo Tot Lot,amusement,playground,Boston,MA,42.364384,-71.098023,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/707977520,https://www.openstreetmap.org/way/707977520,0.57
osm_node_5627766950,ARCADE,amusement,arcade,Boston,MA,42.362085,-71.098745,indoor,0,35,true,120,large,yes,unknown,https://roxysarcade.com/,+1 617-714-4858,"Mo-Th 17:00-23:00,Fr-Sa 17:00-01:00",OpenStreetMap,node/5627766950,https://www.openstreetmap.org/node/5627766950,1
osm_way_1185807559,Arthur J. Shallow Playground,amusement,playground,Boston,MA,42.367385,-71.094198,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/1185807559,https://www.openstreetmap.org/way/1185807559,0.53
osm_way_29838081,Billy Ward Playground,amusement,playground,Boston,MA,42.336683,-71.118179,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29838081,https://www.openstreetmap.org/way/29838081,0.85
osm_node_3660931325,Children's Center Play Yard,amusement,playground,Boston,MA,42.365875,-71.119436,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,node/3660931325,https://www.openstreetmap.org/node/3660931325,0.57
osm_way_29860277,Clarendon Street Play Area,amusement,playground,Boston,MA,42.352802,-71.076611,outdoor,0,35,true,120,large,yes,limited,https://www.nabbonline.org/committees/clarendon-street-playground/,+1-617-247-3961,Mo-Fr 08:15-21:00; Sa-Su 07:30-21:00,OpenStreetMap,way/29860277,https://www.openstreetmap.org/way/29860277,1
osm_way_29836319,Cooper Playground,amusement,playground,Boston,MA,42.369484,-71.107864,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29836319,https://www.openstreetmap.org/way/29836319,0.85
osm_way_1349336401,Daniel F. Ford Playground,amusement,playground,Boston,MA,42.33232,-71.12295,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/1349336401,https://www.openstreetmap.org/way/1349336401,0.53
osm_way_29858950,Defilippo Playground,amusement,playground,Boston,MA,42.366532,-71.056982,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29858950,https://www.openstreetmap.org/way/29858950,0.85
osm_way_29837700,Duffett Tot Lot,amusement,playground,Boston,MA,42.373371,-71.104201,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29837700,https://www.openstreetmap.org/way/29837700,0.85
osm_way_29861254,Edgerly Road Playground,amusement,playground,Boston,MA,42.346278,-71.087962,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29861254,https://www.openstreetmap.org/way/29861254,0.85
osm_way_823307793,Ellis Memorial Children's Park,amusement,playground,Boston,MA,42.347393,-71.069369,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/823307793,https://www.openstreetmap.org/way/823307793,0.61
osm_way_165358914,Esplanade Playspace,amusement,playground,Boston,MA,42.355883,-71.075108,outdoor,0,35,true,120,large,yes,unknown,https://esplanade.org/playgrounds/,,,OpenStreetMap,way/165358914,https://www.openstreetmap.org/way/165358914,0.95
osm_way_29862204,Fulmore Playground,amusement,playground,Boston,MA,42.357393,-71.106697,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29862204,https://www.openstreetmap.org/way/29862204,0.85
osm_way_29835585,Gibbons Playground,amusement,playground,Boston,MA,42.331168,-71.098367,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29835585,https://www.openstreetmap.org/way/29835585,0.85
osm_way_172449563,Gold Star Mothers Park,amusement,playground,Boston,MA,42.372433,-71.083885,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/172449563,https://www.openstreetmap.org/way/172449563,0.57
osm_way_304374264,Gronk Playground,amusement,playground,Boston,MA,42.365657,-71.069767,outdoor,0,35,true,120,large,yes,yes,,,Mo-Su 08:00-dusk,OpenStreetMap,way/304374264,https://www.openstreetmap.org/way/304374264,0.9
osm_way_29860659,Hurly Street/VFW Playground,amusement,playground,Boston,MA,42.368409,-71.083035,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29860659,https://www.openstreetmap.org/way/29860659,0.85
osm_way_29830530,John E. Murphy Playground,amusement,playground,Boston,MA,42.334938,-71.114711,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29830530,https://www.openstreetmap.org/way/29830530,0.85
osm_way_1058172793,Langone Park Playground,amusement,playground,Boston,MA,42.368758,-71.05656,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/1058172793,https://www.openstreetmap.org/way/1058172793,0.57
osm_relation_15682691,Longfellow School Playground,amusement,playground,Boston,MA,42.370844,-71.104,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,relation/15682691,https://www.openstreetmap.org/relation/15682691,0.85
osm_way_33608526,Miriam & Sidney Stoneman Playground,amusement,playground,Boston,MA,42.352558,-71.087135,outdoor,0,35,true,120,large,yes,yes,https://esplanade.org/playgrounds/,,,OpenStreetMap,way/33608526,https://www.openstreetmap.org/way/33608526,0.95
osm_way_29078402,Mother's Rest,amusement,playground,Boston,MA,42.345615,-71.091141,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29078402,https://www.openstreetmap.org/way/29078402,0.85
osm_way_29863539,Myrtle St. Playground,amusement,playground,Boston,MA,42.359206,-71.066097,outdoor,0,35,true,120,large,yes,yes,http://myrtlestreetplayground.org/,,,OpenStreetMap,way/29863539,https://www.openstreetmap.org/way/29863539,0.95
osm_way_29835865,"O""Reilly Playground",amusement,playground,Boston,MA,42.378565,-71.060031,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29835865,https://www.openstreetmap.org/way/29835865,0.85
osm_way_29860469,Palmacci Playground,amusement,playground,Boston,MA,42.379888,-71.105965,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29860469,https://www.openstreetmap.org/way/29860469,0.85
osm_way_95036476,Paul Revere Park Playground,amusement,playground,Boston,MA,42.369612,-71.062317,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/95036476,https://www.openstreetmap.org/way/95036476,0.57
osm_way_546934273,Peterborough Street Playground,amusement,playground,Boston,MA,42.343294,-71.099391,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/546934273,https://www.openstreetmap.org/way/546934273,0.53
osm_way_856165740,Peters Park Tot Lot,amusement,playground,Boston,MA,42.343539,-71.067469,outdoor,0,35,true,120,large,yes,yes,,,,OpenStreetMap,way/856165740,https://www.openstreetmap.org/way/856165740,0.85
osm_node_13391837499,Putt Across America,amusement,mini_golf,Boston,MA,42.359819,-71.05484,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,node/13391837499,https://www.openstreetmap.org/node/13391837499,0.53
osm_way_29818750,Sweeney Playground,amusement,playground,Boston,MA,42.337222,-71.051573,outdoor,0,35,true,120,large,yes,unknown,,,,OpenStreetMap,way/29818750,https://www.openstreetmap.org/way/29818750,0.85
osm_way_376449332,Tadpole Playground,amusement,playground,Boston,MA,42.356093,-71.06469,outdoor,0,35,true,120,large,yes,yes,,,,OpenStreetMap,way/376449332,https://www.openstreetmap.org/way/376449332,0.85
osm_node_7818703231,Topgolf Swing Suite,amusement,arcade,Boston,MA,42.36555,-71.06164,indoor,0,35,true,120,large,yes,unknown,https://www.patinagroup.com/banners/swing-suite,,,OpenStreetMap,node/7818703231,https://www.openstreetmap.org/node/7818703231,0.95
