feature,importance
rating,0.8789889
category_match,0.051214267
family_kids_suitable,0.019991605
kids_match,0.010817546
estimated_cost_usd_max,0.009034689
has_kids,0.0042621517
indoor_outdoor,0.0041789752
budget_usd,0.0039404104
estimated_cost_usd_min,0.0022911855
indoor_outdoor_preference,0.0020058355
subcategory,0.0014010721
indoor_outdoor_match,0.0013053489
category,0.0013052843
group_suitability,0.0011041503
typical_duration_min,0.0009493404
is_estimated,0.0007481696
wheelchair_match,0.00072650966
budget_match,0.0006435697
wheelchair_need,0.0006064288
home_city,0.00039972886
source_url,0.0003871586
group_type_x,0.00037691498
data_quality_score,0.00035753896
interaction_id,0.00034820638
group_type_y,0.00034775102
wheelchair,0.00034447815
state,0.00033896638
preferred_categories,0.00027296637
phone,0.00019015069
website,0.0001771715
name,0.00015738524
source_id,0.00015285307
lat,0.00012333822
home_state,0.00011798015
preferred_indoor_outdoor,0.000113589675
lon,0.000105317275
opening_hours,7.471257e-05
recommendation_adjustment,3.48727e-05
weather_score,1.9064222e-05
interaction_type,1.3821196e-05
weather_context,1.1398033e-05
city,8.939478e-06
weather_condition,5.858389e-06
note,4.420076e-06
synthetic_y,0.0
synthetic_x,0.0
source,0.0
group_match,0.0
city_match,0.0
state_match,0.0
