interaction_id,user_id,activity_id,interaction_type,rating,event_date,weather_context,group_type,synthetic
syn_i000001,syn_u0001,osm_way_1081950825,save,5,2025-07-04,mild,family,true
syn_i000002,syn_u0001,osm_way_520282155,visit,5,2025-01-12,rain,family,true
syn_i000003,syn_u0001,osm_way_1124008693,view,5,2026-05-31,hot,family,true
syn_i000004,syn_u0001,osm_node_13461068252,view,4,2026-05-23,rain,family,true
syn_i000005,syn_u0001,osm_way_1452723905,rating,5,2025-10-16,sunny,family,true
syn_i000006,syn_u0001,osm_way_190594658,save,5,2026-03-26,mild,family,true
syn_i000007,syn_u0001,osm_way_126828268,view,4,2025-03-10,mild,family,true
syn_i000008,syn_u0001,osm_node_12492959503,visit,5,2025-05-26,rain,family,true
syn_i000009,syn_u0001,osm_way_426632816,save,4,2026-02-24,mild,family,true
syn_i000010,syn_u0001,osm_way_129809386,save,5,2026-06-02,sunny,family,true
syn_i000011,syn_u0001,osm_way_679253614,rating,4,2025-05-14,hot,family,true
syn_i000012,syn_u0001,osm_node_10022962909,rating,4,2025-02-17,hot,family,true
syn_i000013,syn_u0001,osm_way_44632294,rating,4,2026-04-14,mild,family,true
syn_i000014,syn_u0001,osm_way_256611754,rating,5,2026-01-20,hot,family,true
syn_i000015,syn_u0001,osm_node_8436104215,visit,5,2025-10-17,rain,family,true
syn_i000016,syn_u0001,osm_node_8227803553,rating,5,2025-01-01,rain,family,true
syn_i000017,syn_u0001,osm_node_8436104216,visit,4,2026-05-05,rain,family,true
syn_i000018,syn_u0002,osm_way_192855283,rating,3,2025-07-23,rain,solo,true
syn_i000019,syn_u0002,osm_way_361610147,rating,4,2026-02-08,hot,solo,true
syn_i000020,syn_u0002,osm_node_11506905539,view,5,2025-12-19,sunny,solo,true
syn_i000021,syn_u0002,osm_node_5364866511,view,5,2025-10-22,hot,solo,true
syn_i000022,syn_u0002,osm_way_259774430,rating,4,2026-04-11,rain,solo,true
syn_i000023,syn_u0002,osm_node_9934094719,rating,5,2026-02-07,sunny,solo,true
syn_i000024,syn_u0002,osm_node_368045827,view,5,2026-01-26,sunny,solo,true
syn_i000025,syn_u0002,osm_node_10859974160,visit,5,2025-06-10,mild,solo,true
syn_i000026,syn_u0002,osm_way_180338224,view,4,2025-01-16,mild,solo,true
syn_i000027,syn_u0002,osm_way_277904752,rating,5,2025-11-30,rain,solo,true
syn_i000028,syn_u0002,osm_node_6593023545,rating,5,2026-06-28,mild,solo,true
syn_i000029,syn_u0002,osm_way_20523422,rating,4,2025-11-30,hot,solo,true
syn_i000030,syn_u0002,osm_way_743395860,visit,4,2026-07-27,mild,solo,true
syn_i000031,syn_u0002,osm_way_275308108,rating,3,2026-03-27,hot,solo,true
syn_i000032,syn_u0002,osm_node_3590689280,rating,4,2026-01-09,sunny,solo,true
syn_i000033,syn_u0002,osm_way_250369718,visit,5,2025-06-04,sunny,solo,true
syn_i000034,syn_u0003,osm_way_1216671282,view,5,2025-08-09,mild,friends,true
syn_i000035,syn_u0003,osm_way_288541017,view,5,2025-06-07,mild,friends,true
syn_i000036,syn_u0003,osm_way_27112975,view,5,2025-03-17,sunny,friends,true
syn_i000037,syn_u0003,osm_node_13989250601,save,5,2025-06-22,hot,friends,true
syn_i000038,syn_u0003,osm_node_13424627630,view,3,2025-06-21,sunny,friends,true
syn_i000039,syn_u0003,osm_way_376265181,rating,5,2026-05-30,sunny,friends,true
syn_i000040,syn_u0003,osm_way_28781006,view,5,2025-12-29,sunny,friends,true
syn_i000041,syn_u0003,osm_way_32491075,save,5,2026-03-07,sunny,friends,true
syn_i000042,syn_u0003,osm_way_1506807895,save,3,2025-01-04,sunny,friends,true
syn_i000043,syn_u0003,osm_way_1428779225,visit,5,2026-05-26,rain,friends,true
syn_i000044,syn_u0003,osm_way_30918921,rating,5,2026-01-14,sunny,friends,true
syn_i000045,syn_u0003,osm_way_386359890,view,5,2025-03-18,hot,friends,true
syn_i000046,syn_u0003,osm_way_755249540,rating,5,2026-03-04,sunny,friends,true
syn_i000047,syn_u0003,osm_way_1413298764,view,5,2026-06-18,rain,friends,true
syn_i000048,syn_u0003,osm_relation_16614896,view,5,2026-05-13,mild,friends,true
syn_i000049,syn_u0003,osm_way_473670376,visit,5,2025-01-06,rain,friends,true
syn_i000050,syn_u0003,osm_way_831072620,rating,5,2025-08-05,mild,friends,true
syn_i000051,syn_u0003,osm_way_449158568,rating,5,2025-08-28,sunny,friends,true
syn_i000052,syn_u0003,osm_node_13163091302,visit,5,2025-07-05,rain,friends,true
syn_i000053,syn_u0004,osm_way_1110942463,visit,4,2025-08-24,mild,family,true
syn_i000054,syn_u0004,osm_way_265947358,visit,4,2025-08-19,sunny,family,true
syn_i000055,syn_u0004,osm_way_306815793,rating,5,2025-09-24,rain,family,true
syn_i000056,syn_u0004,osm_way_271901800,visit,4,2025-11-21,rain,family,true
syn_i000057,syn_u0004,osm_way_118524706,view,5,2025-10-24,mild,family,true
syn_i000058,syn_u0004,osm_way_108239589,save,5,2025-10-18,mild,family,true
syn_i000059,syn_u0004,osm_node_5208082921,save,5,2025-10-05,mild,family,true
syn_i000060,syn_u0004,osm_way_879053030,save,5,2025-01-19,hot,family,true
syn_i000061,syn_u0004,osm_node_5411194373,save,4,2025-06-30,sunny,family,true
syn_i000062,syn_u0004,osm_node_10245927802,visit,4,2025-08-02,rain,family,true
syn_i000063,syn_u0004,osm_way_1385379081,rating,5,2026-01-10,hot,family,true
syn_i000064,syn_u0004,osm_node_357635263,view,4,2025-01-26,mild,family,true
syn_i000065,syn_u0004,osm_way_317349867,visit,4,2025-07-02,rain,family,true
syn_i000066,syn_u0004,osm_way_889019981,rating,5,2026-03-21,rain,family,true
syn_i000067,syn_u0004,osm_way_585788562,visit,4,2026-05-04,hot,family,true
syn_i000068,syn_u0004,osm_way_729170776,view,5,2026-03-19,sunny,family,true
syn_i000069,syn_u0004,osm_way_890862704,rating,4,2026-06-06,mild,family,true
syn_i000070,syn_u0004,osm_way_271798673,visit,4,2025-09-11,sunny,family,true
syn_i000071,syn_u0004,osm_node_13615340901,save,4,2026-07-06,rain,family,true
syn_i000072,syn_u0005,osm_way_452935790,view,5,2026-07-04,mild,friends,true
syn_i000073,syn_u0005,osm_way_1089903105,visit,4,2025-05-02,hot,friends,true
syn_i000074,syn_u0005,osm_way_666077898,rating,5,2025-12-23,hot,friends,true
syn_i000075,syn_u0005,osm_way_831072620,rating,5,2025-09-15,hot,friends,true
syn_i000076,syn_u0005,osm_way_452935737,save,5,2025-11-05,rain,friends,true
syn_i000077,syn_u0005,osm_way_622444217,visit,5,2025-01-29,sunny,friends,true
syn_i000078,syn_u0005,osm_way_1241986434,view,5,2025-03-07,sunny,friends,true
syn_i000079,syn_u0005,osm_way_361449425,rating,2,2026-05-01,sunny,friends,true
syn_i000080,syn_u0005,osm_relation_16614896,visit,5,2026-04-15,mild,friends,true
syn_i000081,syn_u0005,osm_way_227669102,save,5,2026-05-23,mild,friends,true
syn_i000082,syn_u0005,osm_relation_6964584,rating,5,2026-02-14,mild,friends,true
syn_i000083,syn_u0005,osm_way_219799703,rating,5,2025-01-30,mild,friends,true
syn_i000084,syn_u0005,osm_way_622444220,save,5,2025-11-17,mild,friends,true
syn_i000085,syn_u0005,osm_way_472244060,visit,3,2025-12-01,sunny,friends,true
syn_i000086,syn_u0005,osm_node_13163107728,rating,3,2025-03-28,mild,friends,true
syn_i000087,syn_u0005,osm_way_783648386,visit,3,2025-04-24,mild,friends,true
syn_i000088,syn_u0006,osm_way_406065723,save,4,2026-04-05,rain,solo,true
