interaction_id,user_id,activity_id,interaction_type,rating,event_date,weather_context,group_type_x,synthetic_x,home_city,home_state,preferred_categories,budget_usd,group_type_y,has_kids,indoor_outdoor_preference,wheelchair_need,synthetic_y,name,category,subcategory,city,state,lat,lon,indoor_outdoor,estimated_cost_usd_min,estimated_cost_usd_max,is_estimated,typical_duration_min,group_suitability,family_kids_suitable,wheelchair,website,phone,opening_hours,source,source_id,source_url,data_quality_score,city_match,state_match,indoor_outdoor_match,group_match,kids_match,wheelchair_match,budget_match,category_match,weather_condition,preferred_indoor_outdoor,recommendation_adjustment,note,weather_score,target,prediction
14,0,2121,3,5,289,2,1,True,3,6,664,75,1,True,0,False,True,3398,10,18,3,6,29.715844,-95.405919,0,20,80,True,150,1,0,2,2635,1027,656,0,2121,2121,0.53,1,1,1,0,0,0,1,1,2,0,0.25,1,0.25,5,5.013649
4,0,3522,0,5,288,3,1,True,3,6,664,75,1,True,0,False,True,4505,8,21,3,6,29.626508,-95.463246,2,0,0,True,90,0,1,2,2635,1027,656,0,3522,3522,0.77,1,1,0,0,1,0,1,0,3,2,0.2,2,0.2,5,5.002944
5,0,3881,1,5,449,1,1,True,3,6,664,75,1,True,0,False,True,2199,8,21,3,6,29.79767,-95.487354,2,0,0,True,90,0,1,2,2635,1027,656,0,3881,3881,0.65,1,1,0,0,1,0,1,0,1,1,0.1,3,0.1,5,5.0026946
9,0,3229,1,5,517,3,1,True,3,6,664,75,1,True,0,False,True,3294,8,21,3,6,29.686755,-95.433627,2,0,0,True,90,0,1,2,2635,1027,656,0,3229,3229,0.85,1,1,0,0,1,0,1,0,3,2,0.2,2,0.2,5,5.002258
13,0,4385,0,5,384,0,1,True,3,6,664,75,1,True,0,False,True,3238,8,21,3,6,29.732666,-95.423331,2,0,0,True,90,0,1,2,467,1027,656,0,4385,4385,0.95,1,1,0,0,1,0,1,0,0,0,0.15,0,0.15,5,5.0012918
15,0,2098,0,5,0,2,1,True,3,6,664,75,1,True,0,False,True,656,9,6,3,6,29.781727,-95.392354,0,0,25,True,90,0,0,2,2635,1027,656,0,2098,2098,0.57,1,1,1,0,0,0,1,0,2,0,0.25,1,0.25,5,4.998883
7,0,445,3,5,145,2,1,True,3,6,664,75,1,True,0,False,True,5594,0,1,3,6,29.817793,-95.411368,0,0,35,True,120,0,1,0,845,903,443,0,445,445,1.0,1,1,1,0,1,0,1,0,2,0,0.25,1,0.25,5,4.998783
1,0,5977,3,5,11,2,1,True,3,6,664,75,1,True,0,False,True,185,6,9,3,6,29.754135,-95.380441,0,0,0,True,75,1,1,2,420,275,656,0,5977,5977,0.95,1,1,1,0,1,0,1,0,2,0,0.25,1,0.25,5,4.9949875
2,0,2906,2,5,515,0,1,True,3,6,664,75,1,True,0,False,True,5482,8,21,3,6,29.716216,-95.308234,2,0,0,True,90,0,1,2,2635,1027,656,0,2906,2906,0.85,1,1,0,0,1,0,1,0,0,0,0.15,0,0.15,5,4.994802
0,0,2799,1,5,184,1,1,True,3,6,664,75,1,True,0,False,True,5017,6,9,3,6,29.869857,-95.301091,0,0,0,True,75,1,1,2,2635,284,656,0,2799,2799,0.85,1,1,1,0,1,0,1,0,1,1,0.1,3,0.1,5,4.992938
